trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.8383220524812726}",20,0,-80.54067880469634,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.8349687642713474}",20,0,-83.03674436228161,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.831628889214262}",25,0,-80.69465853755845,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.828302373657405}",20,0,-46.22435437106322,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.8249891641627753}",25,0,-66.76308527213047,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8216892075061243}",20,0,-8.813961833755084,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8184024506760997}",20,0,-170.40312885198193,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.8151288408733953}",20,11,-21.62054661017789,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.8118683255099017}",25,0,-122.20807518155817,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.8086208522078622}",20,0,-23.363229357178692,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.8053863687990307}",20,0,-33.336779534628576,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.8021648233238345}",30,0,-92.09410088413927,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7989561640305393}",35,0,-57.40454131507043,"{0: 27, 1: 1, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.795760339374417}",25,0,-40.97341853631356,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7925772980169195}",20,0,-63.63051045135113,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7894069888248517}",25,0,-142.09643533170487,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.7862493608695523}",20,0,-94.118249417321,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.7831043634260741}",35,3,-142.3579330091999,"{0: 19, 1: 3, 2: 7, 3: 2, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.7799719459723699}",25,0,-99.26279973064662,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.7768520581884804}",20,0,-131.5915784385029,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.7737446499557264}",20,0,-64.92812114863608,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.7706496713559035}",25,0,-158.48100078080623,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
