trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
256,False,"{'a': 0.5, 'e': 0.35841868033474045}",25,7,-20.144830671305552,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.35698500561340146}",25,0,-31.68271355474214,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
258,False,"{'a': 0.5, 'e': 0.35555706559094785}",20,6,-7.763154063324991,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.3541348373285841}",25,15,2.6899023045476462,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.35271829797926973}",25,0,37.06254115770313,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
261,False,"{'a': 0.5, 'e': 0.35130742478735266}",30,19,8.620883765766038,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.34990219508820325}",25,0,-7.820491252582995,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
263,False,"{'a': 0.5, 'e': 0.3485025863078504}",30,10,19.392289125627734,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.347108575962619}",25,8,6.748364231948971,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.3457201416587685}",30,17,2.7564627629188667,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.3443372610921335}",20,9,10.513649920532114,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.34295991204776494}",20,11,17.30199227381015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.34158807239957384}",25,0,-67.38008307017823,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
269,False,"{'a': 0.5, 'e': 0.3402217201099756}",30,15,21.059921040590645,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.33886083322953564}",20,12,14.06379721635078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.3375053898966175}",20,11,-8.062539304997449,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
